Date,Close,High,Low,Open,Volume,return,direction
2025-04-28,24328.5,24355.099609375,24054.05078125,24070.25,320500,0.012028211882747275,1
2025-04-29,24335.94921875,24457.650390625,24290.75,24370.69921875,357600,0.0003061930965739812,0
2025-04-30,24334.19921875,24396.150390625,24198.75,24342.05078125,424500,-7.191007773188485e-05,1
2025-05-02,24346.69921875,24589.150390625,24238.5,24311.900390625,421100,0.0005136803511647248,1
2025-05-05,24461.150390625,24526.400390625,24400.650390625,24419.5,291500,0.004700890697612925,0
2025-05-06,24379.599609375,24509.650390625,24331.80078125,24500.75,302400,-0.0033338898599493128,1
2025-05-07,24414.400390625,24449.599609375,24220.0,24233.30078125,330100,0.0014274549954715887,0
2025-05-08,24273.80078125,24447.25,24150.19921875,24431.5,411400,-0.005758880297096702,0
2025-05-09,24008.0,24164.25,23935.75,23935.75,335600,-0.0109501096942064,1
2025-05-12,24924.69921875,24944.80078125,24378.849609375,24420.099609375,368700,0.038183073090219954,0
2025-05-13,24578.349609375,24973.80078125,24547.5,24864.05078125,423000,-0.01389583907654357,1
2025-05-14,24666.900390625,24767.55078125,24535.55078125,24613.80078125,345500,0.0036027960647213586,1
2025-05-15,25062.099609375,25116.25,24494.44921875,24694.44921875,500800,0.01602143814146184,0
2025-05-16,25019.80078125,25070.0,24953.05078125,25064.650390625,432700,-0.0016877607536591732,0
2025-05-19,24945.44921875,25062.94921875,24916.650390625,25005.349609375,255300,-0.0029717088137536374,0
2025-05-20,24683.900390625,25010.349609375,24669.69921875,24996.19921875,414800,-0.010484831354666824,1
2025-05-21,24813.44921875,24946.19921875,24685.349609375,24744.25,332700,0.00524831270888626,0
2025-05-22,24609.69921875,24737.5,24462.400390625,24733.94921875,403300,-0.008211272774042211,1
2025-05-23,24853.150390625,24909.05078125,24614.05078125,24639.5,270500,0.009892488718005854,1
2025-05-26,25001.150390625,25079.19921875,24900.5,24919.349609375,302800,0.005954979456279652,0
2025-05-27,24826.19921875,25062.900390625,24704.099609375,24956.650390625,525700,-0.0069977248703164685,0
2025-05-28,24752.44921875,24864.25,24737.05078125,24832.5,684400,-0.0029706520659956714,1
2025-05-29,24833.599609375,24892.599609375,24677.30078125,24825.099609375,345400,0.003278479228775888,0
2025-05-30,24750.69921875,24863.94921875,24717.400390625,24812.599609375,853900,-0.00333823496911434,0
2025-06-02,24716.599609375,24754.400390625,24526.150390625,24669.69921875,311100,-0.0013777230725331435,0
2025-06-03,24542.5,24845.099609375,24502.150390625,24786.30078125,349300,-0.007043833380258491,1
2025-06-04,24620.19921875,24644.25,24530.44921875,24560.44921875,280900,0.003165904807986175,1
2025-06-05,24750.900390625,24899.849609375,24613.099609375,24691.19921875,388400,0.005308696762106768,1
2025-06-06,25003.05078125,25029.5,24671.44921875,24748.69921875,335600,0.01018752395450262,1
2025-06-09,25103.19921875,25160.099609375,25077.150390625,25160.099609375,279200,0.004005448710087123,1
2025-06-10,25104.25,25199.30078125,25055.44921875,25196.05078125,307300,4.18584595869298e-05,1
2025-06-11,25141.400390625,25222.400390625,25081.30078125,25134.150390625,301200,0.0014798446727146697,0
2025-06-12,24888.19921875,25196.19921875,24825.900390625,25164.44921875,328300,-0.010071084662786611,0
2025-06-13,24718.599609375,24754.349609375,24473.0,24473.0,318700,-0.006814458847919758,1
2025-06-16,24946.5,24967.099609375,24703.599609375,24732.349609375,305800,0.00921979376770854,0
2025-06-17,24853.400390625,24982.05078125,24813.69921875,24977.849609375,242400,-0.0037319707924959866,0
2025-06-18,24812.05078125,24947.55078125,24750.44921875,24788.349609375,237600,-0.0016637405234334324,0
2025-06-19,24793.25,24863.099609375,24733.400390625,24803.25,274600,-0.0007577278241026608,1
2025-06-20,25112.400390625,25136.19921875,24783.650390625,24787.650390625,574700,0.01287247095983779,0
2025-06-23,24971.900390625,25057.0,24824.849609375,24939.75,248500,-0.0055948454872697395,1
2025-06-24,25044.349609375,25317.69921875,24999.69921875,25179.900390625,450200,0.0029012296868362597,1
