date,Close,High,Low,Open,Volume,return,direction,sentiment_mean,sentiment_std,headline_count,return_1d,return_3d,return_5d,volatility_5d,volume_change,sentiment_1d,sentiment_3d,sentiment_7d,sentiment_momentum
2025-04-15,23328.55078125,23368.349609375,23207.0,23368.349609375,388300,0.0219023977821084,1,0.10718820776258199,0.835814933183371,7,0.0191703874091904,0.009997283434644703,-0.0034614631508375396,0.021808586087080067,0.04794163626889003,-0.26728408336639403,-0.25040160550011525,-0.24660159718609395,-0.02068248618030008
2025-04-16,23437.19921875,23452.19921875,23273.05078125,23344.099609375,348400,0.004657316201027,1,-0.034700252507862316,0.7929796238018977,19,0.0219023977821084,0.011668976394409438,0.0038923403605974406,0.0231587641177643,-0.03455992043759326,0.10718820776258199,-0.16734404535520642,-0.16969066108351874,0.27687886884610075
2025-04-17,23851.650390625,23872.349609375,23298.55078125,23401.849609375,505300,0.0176834769379541,1,-0.19232437213261921,0.8524183628573139,15,0.004657316201027,0.015243367130775268,0.011310312857413901,0.01173956600979761,-0.10275560133917072,-0.034700252507862316,-0.06493204270389145,-0.13333767081833936,0.09863741831047704
2025-04-21,24125.55078125,24189.55078125,23903.650390625,23949.150390625,406100,0.0114834984640164,1,-0.1559040943781535,0.721416260871747,12,0.0176834769379541,0.014747730307029838,0.01146954446444188,0.011839099320020656,0.4503444316877152,-0.19232437213261921,-0.03994547229263318,-0.1223559043290493,-0.06996846780356991
2025-04-22,24167.25,24242.599609375,24072.0,24185.400390625,440900,0.0017284255654137,1,-0.8305454070751483,0.257079624919388,13,0.0114834984640164,0.011274763867665835,0.014979415358859261,0.006920459654939468,-0.19631901840490795,-0.1559040943781535,-0.127642906339545,-0.14670647539377127,-0.009197618984382233
2025-04-23,24328.94921875,24359.30078125,24119.94921875,24357.599609375,415000,0.0066908406521222,0,-0.2747021265651869,0.7911839082764496,23,0.0017284255654137,0.01029846698912807,0.01149102299010392,0.008496339278329944,0.08569317901994578,-0.8305454070751483,-0.39292462452864035,-0.24507232316562894,-0.5854730839095195
2025-04-24,24246.69921875,24347.849609375,24216.150390625,24277.900390625,358800,-0.0033807460922566,0,0.18721307118733724,0.8813603413744132,15,0.0066908406521222,0.00663425489385077,0.00844871156410668,0.006267333082828921,-0.058743479246994745,-0.2747021265651869,-0.4203838760061629,-0.23546744689468319,-0.0392346796705037
2025-04-25,24039.349609375,24365.44921875,23847.849609375,24289.0,387700,-0.0085516633626838,1,-0.41477541128794354,0.6055153711161317,9,-0.0033807460922566,0.001679506708426437,0.00684109910544996,0.008212142784359873,-0.13542168674698796,0.18721307118733724,-0.30601148748433266,-0.17053928195843587,0.35775235314577314
2025-04-28,24328.5,24355.099609375,24054.05078125,24070.25,320500,0.0120282118827472,1,-0.2221833500597212,0.766407230796681,18,-0.0085516633626838,-0.0017471896009393967,0.0015940710453223807,0.007929070223891874,0.08054626532887399,-0.41477541128794354,-0.16742148888859767,-0.24510551325136806,-0.16966989803657548
2025-04-29,24335.94921875,24457.650390625,24290.75,24370.69921875,357600,0.0003061930965739,0,-0.017830694715181977,0.7858029705831157,12,0.0120282118827472,3.193414260227052e-05,0.0017030137290685407,0.008100799285649612,-0.17332989424812995,-0.2221833500597212,-0.14991523005344246,-0.27188881290163364,0.049705462841912434
2025-04-30,24334.19921875,24396.150390625,24198.75,24342.05078125,424500,-7.191007773188485e-05,1,-0.07762330344745093,0.8963996161534603,14,0.0003061930965739,0.0012609138722124368,0.0014185672353005806,0.008124618596346184,0.11575663026521066,-0.017830694715181977,-0.21826315202094884,-0.24696114469914263,0.22913044998396065
2025-05-02,24346.69921875,24589.150390625,24238.5,24311.900390625,421100,0.0005136803511647,1,0.036364046732584636,0.8785396878847175,15,-7.191007773188485e-05,0.004087498300529742,6.601708932976378e-05,0.007571581827737338,0.18708053691275173,-0.07762330344745093,-0.105879116074118,-0.2357781745661851,0.15815487111873416
2025-05-05,24461.150390625,24526.400390625,24400.650390625,24419.5,291500,0.0047008906976129,0,-0.358529720041487,0.7660748461049462,18,0.0005136803511647,0.00024932112333557504,0.0008449023780140238,0.007324655623268282,-0.008009422850412284,0.036364046732584636,-0.01969665047668272,-0.1119339668793661,0.14829801361195075
2025-05-06,24379.599609375,24509.650390625,24331.80078125,24500.75,302400,-0.0033338898599493,1,-0.23727035522460938,0.7465871616806059,16,0.0047008906976129,0.0017142203236819083,0.003495413190073364,0.005149016420038691,-0.30776537639515555,-0.358529720041487,-0.1332629922521177,-0.12390933737598041,-0.23462038266550655
2025-05-07,24414.400390625,24449.599609375,24220.0,24233.30078125,330100,0.0014274549954715,0,-0.35868540831974577,0.8543526653921922,14,-0.0033338898599493,0.0006268937296094366,0.00042299284153406386,0.002858381229125718,0.03739279588336197,-0.23727035522460938,-0.1864786761778372,-0.18454982686340135,-0.052720528361208024
2025-05-08,24273.80078125,24447.25,24150.19921875,24431.5,411400,-0.0057588802970967,0,-0.0809565361808328,0.7431587959624849,17,0.0014274549954715,0.0009314852777117033,0.0006472452213135838,0.002890727823280799,0.09160052910052907,-0.35868540831974577,-0.31816182786194735,-0.17653696929651597,-0.1821484390232298
2025-05-09,24008.0,24164.25,23935.75,23935.75,335600,-0.0109501096942064,1,0.2263885596219231,0.8288144244571263,17,-0.0057588802970967,-0.0025551050538581634,-0.000490148822559379,0.004107254653398447,0.2462890033323235,-0.0809565361808328,-0.22563743324172927,-0.15636171017096046,0.07540517399012765
2025-05-12,24924.69921875,24944.80078125,24378.849609375,24420.099609375,368700,0.0381830730902199,0,-0.359522208571434,0.7796956617213929,8,-0.0109501096942064,-0.00509384499861053,-0.002782906831633599,0.00611550437692898,-0.18424890617403988,0.2263885596219231,-0.07108446162621845,-0.12147324526565972,0.34786180488758284
2025-05-13,24578.349609375,24973.80078125,24547.5,24864.05078125,423000,-0.0138958390765435,1,-0.5121061503887177,0.6026588682880077,8,0.0381830730902199,0.007158027699638937,0.003913529646887801,0.019669713731276933,0.09862932061978547,-0.359522208571434,-0.07136339504344787,-0.16174451742622878,-0.19777769114520524
2025-05-14,24666.900390625,24767.55078125,24535.55078125,24613.80078125,345500,0.0036027960647213,1,-0.0782925521626192,0.818847502672929,17,-0.0138958390765435,0.004445708106490003,0.001801139803568961,0.021153771080175073,0.14727420667209112,-0.5121061503887177,-0.2150799331127428,-0.24009740272927196,-0.2720087476594457
2025-05-15,25062.099609375,25116.25,24494.44921875,24694.44921875,500800,0.0160214381414618,0,-0.18357148021459582,0.767411668178096,16,0.0036027960647213,0.009296676692799237,0.002236208017418921,0.02116653034181464,-0.18321513002364065,-0.0782925521626192,-0.3166403037075902,-0.2000635216037194,0.1217709694411002
2025-05-16,25019.80078125,25070.0,24953.05078125,25064.650390625,432700,-0.0016877607536591,0,-0.4608378849531475,0.7487349956378766,19,0.0160214381414618,0.001909465043213203,0.00659227170513062,0.021350191480422085,0.4494934876989869,-0.18357148021459582,-0.25799006092197746,-0.19239225374514607,0.008820773530550247
2025-05-19,24945.44921875,25062.94921875,24916.650390625,25005.349609375,255300,-0.0029717088137536,0,-0.31838995549413895,0.8238832621946849,18,-0.0016877607536591,0.00597882448417467,0.008444741493240081,0.01979260136883392,-0.13598242811501593,-0.4608378849531475,-0.24090063911012075,-0.20698546469277485,-0.25385242026037264
2025-05-20,24683.900390625,25010.349609375,24669.69921875,24996.19921875,414800,-0.0104848313546668,1,-0.2397053440411886,0.8094143971127218,15,-0.0029717088137536,0.0037873228580163703,0.00021378511244538105,0.010888205000247614,-0.409983822509822,-0.31838995549413895,-0.320933106887294,-0.24090452459467576,-0.07748543089946319
2025-05-21,24813.44921875,24946.19921875,24685.349609375,24744.25,332700,0.0052483127088862,0,-0.26237427487092857,0.7492114292926323,17,-0.0104848313546668,-0.005048100307359829,0.0008959866568207214,0.009839511386875261,0.6247551899725812,-0.2397053440411886,-0.3396443948294916,-0.30748936797512033,0.06778402393393174
2025-05-22,24609.69921875,24737.5,24462.400390625,24733.94921875,403300,-0.0082112727740422,1,-0.18719456877027238,0.8266898183386381,14,0.0052483127088862,-0.002736075819844729,0.0012250899856537014,0.009979207348498874,-0.1979267116682739,-0.26237427487092857,-0.27348985813541865,-0.2936110917321909,0.03123681686126234
2025-05-23,24853.150390625,24909.05078125,24614.05078125,24639.5,270500,0.0098924887180058,1,-0.1641142921788352,0.7508661752983583,14,-0.0082112727740422,-0.004482597139940929,-0.003621452197447099,0.00614423479652162,0.21220318605350164,-0.18719456877027238,-0.22975806256079645,-0.24719515150098445,0.06000058273071207
2025-05-26,25001.150390625,25079.19921875,24900.5,24919.349609375,302800,0.0059549794562796,0,-0.31036996841430664,0.8628700262153011,13,0.0098924887180058,0.0023098428842832706,-0.0013054023031141184,0.008704502941588943,-0.3292834118522192,-0.1641142921788352,-0.2045610452733453,-0.2594554000747296,0.09534110789589442
2025-05-27,24826.19921875,25062.900390625,24704.099609375,24956.650390625,525700,-0.0069977248703164,0,-0.0404428710108218,0.8166327641319212,23,0.0059549794562796,0.002545398466747737,0.00047993535089252144,0.009179772587749522,0.11940850277264325,-0.31036996841430664,-0.22055960978780464,-0.27756946981754543,-0.03280049859676121
2025-05-28,24752.44921875,24864.25,24737.05078125,24832.5,684400,-0.0029706520659956,1,0.05350366433461508,0.7642119663052057,15,-0.0069977248703164,0.002949914434656338,0.0011773566477626012,0.008220860815648483,0.7361294583883751,-0.0404428710108218,-0.17164237720132114,-0.21751303925435606,0.17707016824353425
2025-05-29,24833.599609375,24892.599609375,24677.30078125,24825.099609375,345400,0.0032784792287758,0,-0.00452733039855958,0.7835383516580026,12,-0.0029706520659956,-0.0013377991600107958,-0.0004664363072137588,0.00802267453603728,0.3018832033479171,0.05350366433461508,-0.09910305836350437,-0.16438537927881974,0.2178890436134348
2025-05-30,24750.69921875,24863.94921875,24717.400390625,24812.599609375,853900,-0.0033382349691143,0,-0.08160914108157158,0.8933206196438762,16,0.0032784792287758,-0.0022299659025120625,0.0018315140933498411,0.00680243057850009,-0.4953243717124488,-0.00452733039855958,0.0028444876417446398,-0.13078852018701562,0.12626118978845605
2025-06-02,24716.599609375,24754.400390625,24526.150390625,24669.69921875,311100,-0.0013777230725331,0,0.1909385849447811,0.8676890934184446,17,-0.0033382349691143,-0.001010135935444696,-0.000814630644074179,0.005287457581715659,1.4722061378112334,-0.08160914108157158,-0.010877602381838622,-0.10496492964567891,0.023355788564107333
2025-06-03,24542.5,24845.099609375,24502.150390625,24786.30078125,349300,-0.0070438333802584,1,-0.28898125514388084,0.8462881237718075,16,-0.0013777230725331,-0.0004791596042905293,-0.002281171149836719,0.0037270825591450957,-0.6356716243119803,0.1909385849447811,0.03493403782155006,-0.05094590768638554,0.24188449263116665
2025-06-04,24620.19921875,24644.25,24530.44921875,24560.44921875,280900,0.0031659048079861,1,-0.5400646775960922,0.695934050164251,12,-0.0070438333802584,-0.0039199304739685956,-0.0022903928518251187,0.003741698308746675,0.12279009964641596,-0.28898125514388084,-0.05988393709355703,-0.06878404525282064,-0.2201972098910602
